# AI学徒手记 选题库
# 格式：阶段号|难度|标题方向|关键词
# 难度：入门 / 进阶 / 高级 / 求职

# ===== 阶段一：AI扫盲（入门）=====
1|入门|AI是什么？5分钟搞懂人工智能|人工智能 入门 概念
1|入门|ChatGPT、Claude、豆包，这些AI到底有什么区别|AI工具 对比 选型
1|入门|普通人学AI有什么用？能找什么工作|AI就业 职业 转行
1|入门|0基础怎么开始学AI？一条路线就够了|AI学习路线 零基础
1|入门|大模型是什么？和普通AI有什么区别|大模型 LLM 概念
1|入门|AI会取代我的工作吗？听听真实数据|AI取代 就业 趋势
1|入门|什么是Prompt？为什么它是用好AI的关键|Prompt 提示词 技巧
1|入门|token是什么？为什么AI要收费|token 计费 API

# ===== 阶段二：工具实操（进阶）=====
2|进阶|ChatGPT注册使用全教程，手把手教你|ChatGPT 注册 教程
2|进阶|Claude怎么用？比ChatGPT强在哪|Claude 对比 使用
2|进阶|用AI写PPT，5分钟搞定一份演示文稿|AI做PPT 效率 办公
2|进阶|用AI处理Excel，不会公式也能做数据分析|AI Excel 数据分析
2|进阶|Midjourney AI绘画入门，零基础出图|Midjourney AI绘画 教程
2|进阶|用AI写文案，小红书/公众号/朋友圈都能用|AI写文案 内容创作
2|进阶|10个神级Prompt模板，直接抄就能用|Prompt模板 实用 技巧
2|进阶|AI翻译工具横评，哪个最好用|AI翻译 对比 评测

# ===== 阶段三：实战项目（高级）=====
3|高级|用Python+AI做一个自动回复机器人|Python AI 聊天机器人
3|高级|搭建你自己的AI助手，完整教程|AI助手 搭建 教程
3|高级|用AI做一个完整的网站，从设计到上线|AI建站 全栈 实战
3|高级|AI数据分析实战：从Excel到自动化报表|数据分析 自动化 Python
3|高级|用AI自动生成内容，搭建你的自媒体矩阵|AI自媒体 自动化 内容矩阵
3|高级|本地部署开源大模型，数据不出门|开源模型 本地部署 Ollama
3|高级|RAG是什么？用AI搭建你的知识库|RAG 知识库 向量数据库

# ===== 阶段四：求职向（求职）=====
4|求职|AI岗位有哪些？薪资和发展前景一览|AI岗位 薪资 职业规划
4|求职|AI面试常见知识点整理，背完就能过|AI面试 知识点 准备
4|求职|简历怎么写AI相关经验？模板直接抄|AI简历 求职 模板
4|求职|非科班转行AI的真实路径，我就是这么做的|转行AI 非科班 经验
4|求职|AI产品经理是做什么的？需要什么能力|AI产品经理 岗位 能力
4|求职|从0到拿到AI offer，我的学习时间表|AI学习 时间表 offer
